card_name,amount,set_name,collector_number,is_foil
Overrun,1,10E,284,0
Voice of All,1,10E,56,0
Unsummon,1,10E,122,0
Caustic Caterpillar,1,ORI,170,0
Myr Battlesphere,1,C13,247,0
Gaze of Granite,1,C18,181,0
"Bosh, Iron Golem",1,C18,198,0
Lignify,1,DDD,16,0
Grazing Gladehart,1,ZEN,163,0
Journey to Nowhere,1,ZEN,14,0
Chaplain of Alms // Chapel Shieldgeist,1,MID,13,0
Plains,4,MID,380,0
"Gisa, Glorious Resurrector",1,MID,103,0
Timberland Guide,4,MID,202,0
Stormrider Spirit,2,MID,79,0
Moonsilver Key,1,MID,255,0
Cathartic Pyre,1,MID,133,0
Fading Hope,2,MID,51,0
Mounted Dreadknight,3,MID,150,0
Lunarch Veteran // Luminous Phantom,1,MID,27,0
Patrician Geist,1,MID,69,0
Lambholt Harrier,3,MID,145,0
Forest,4,MID,384,0
Voldaren Stinger,2,MID,167,0
Hallowed Respite,1,MID,227,0
Burn the Accursed,2,MID,132,0
Topple the Statue,1,WAR,35,0
Bolt Bend,1,WAR,115,0
Tithebearer Giant,2,WAR,107,0
Pollenbright Druid,1,WAR,173,0
"Vraska, Swarm's Eminence",1,WAR,236,0
Aid the Fallen,3,WAR,76,0
"Neheb, Dreadhorde Champion",1,WAR,140,0
Time Wipe,1,WAR,223,0
Courage in Crisis,1,WAR,158,0
Deathsprout,1,WAR,189,0
God-Pharaoh's Statue,1,WAR,238,0
Makeshift Battalion,2,WAR,22,0
Kronch Wrangler,2,WAR,166,0
Wall of Runes,1,WAR,75,0
Kaya's Ghostform,1,WAR,94,0
Ajani's Pridemate,1,WAR,4,0
Loxodon Sergeant,3,WAR,21,0
Teferi's Time Twist,1,WAR,72,0
"Ashiok, Dream Render",1,WAR,228,0
Thunder Drake,1,WAR,73,0
Vraska's Finisher,4,WAR,112,0
Bloom Hulk,1,WAR,154,0
Ornithopter,1,M10,216,0
Magma Phoenix,1,M10,148,0
Act of Treason,1,M10,124,0
"Lazav, Dimir Mastermind",1,ZNC,92,0
Faerie Vandal,1,ZNC,26,0
Slither Blade,1,ZNC,36,0
Dimir Locket,1,ZNC,111,0
Murder,1,ZNC,47,0
Changeling Outcast,1,ZNC,40,0
Invisible Stalker,1,ZNC,27,0
"Sygg, River Cutthroat",1,ZNC,103,0
Dimir Keyrune,1,ZNC,110,0
Price of Fame,1,ZNC,52,0
Military Intelligence,1,ZNC,31,0
Dimir Guildgate,1,ZNC,127,0
